311,1101046808,03.07.15,02.10.15,27179
225,1101046499,05.05.15,05.10.15,3658
210,41430202010451,12.01.15,05.10.15,7430
k01,6829,20.04.15,06.10.15,7171
306,1101046492,11.06.15,08.10.15,1326
339,1101046491,04.09.15,08.10.15,1457
233,1362155,12.08.15,09.10.15,4270
231,1101046557,02.09.15,12.10.15,2070
225,1101046498,05.05.15,16.10.15,4456
240,1101046501,30.07.15,19.10.15,2551
232,1101046564,07.07.15,20.10.15,3830
339,1101046491,08.10.15,23.10.15,686
230,1101046500,NA,22.10.15,1116
003,1101046434,29.06.15,26.10.15,8061
007,1101046824,24.10.15,24.10.15,6627
124,1101046831,12.03.15,27.10.15,10921
201,1101046805,28.04.15,28.10.15,28698
201,1101046285,17.09.15,28.10.15,12544
230,1101046567,17.08.15,29.10.15,2290
211,1101046301,27.08.15,29.10.15,18546
303,1362347,16.09.15,29.10.15,8003